Sufijo,Número,frec_afijada,frec_pseudoafijada,count_afijada,count_pseudoafijada,prop_frec_afij,prop_count_afij
 doxia ,singular ,19.0,0.0,2.0,0.0,1.0,1.0
 ducto ,Total,31.0,429.0,8.0,8.0,0.06739130434782609,0.5
 ducto ,plural ,0.0,18.0,0.0,3.0,0.0,0.0
 ducto ,singular ,31.0,411.0,8.0,5.0,0.07013574660633484,0.6153846153846154
 dura ,Total,810.0,1475.0,70.0,15.0,0.3544857768052516,0.8235294117647058
 dura ,plural ,31.0,5.0,10.0,3.0,0.8611111111111112,0.7692307692307693
 dura ,singular ,779.0,1470.0,60.0,12.0,0.34637616718541575,0.8333333333333334
 ea ,Total,817.0,8625.0,9.0,101.0,0.08652827790722305,0.08181818181818182
 ea ,plural ,1.0,444.0,1.0,32.0,0.0022471910112359553,0.030303030303030304
 ea ,singular ,816.0,8181.0,8.0,69.0,0.0906968989663221,0.1038961038961039
 ectomía ,Total,7.0,0.0,3.0,0.0,1.0,1.0
 ectomía ,singular ,7.0,0.0,3.0,0.0,1.0,1.0
 eda ,Total,75.0,6095.0,7.0,25.0,0.012155591572123177,0.21875
 eda ,plural ,0.0,1.0,0.0,1.0,0.0,0.0
 eda ,singular ,75.0,6094.0,7.0,24.0,0.012157562003566219,0.22580645161290322
 edo ,Total,3.0,2139.0,2.0,21.0,0.0014005602240896359,0.08695652173913043
 edo ,plural ,2.0,10.0,1.0,2.0,0.16666666666666666,0.3333333333333333
 edo ,singular ,1.0,2129.0,1.0,19.0,0.00046948356807511736,0.05
 edro ,Total,5.0,12.0,3.0,4.0,0.29411764705882354,0.42857142857142855
 edro ,plural ,1.0,1.0,1.0,1.0,0.5,0.5
 edro ,singular ,4.0,11.0,2.0,3.0,0.26666666666666666,0.4
 ega ,Total,166.0,1863.0,6.0,40.0,0.08181370133070479,0.13043478260869565
 ega ,plural ,7.0,16.0,3.0,5.0,0.30434782608695654,0.375
 ega ,singular ,159.0,1847.0,3.0,35.0,0.07926221335992024,0.07894736842105263
 ego ,Total,314.0,5684.0,11.0,59.0,0.05235078359453151,0.15714285714285714
 ego ,plural ,0.0,2.0,0.0,2.0,0.0,0.0
 ego ,singular ,314.0,5682.0,11.0,57.0,0.052368245496998,0.16176470588235295
 eja ,Total,46.0,5628.0,7.0,47.0,0.008107155445893549,0.12962962962962962
 eja ,plural ,15.0,16.0,3.0,5.0,0.4838709677419355,0.375
 eja ,singular ,31.0,5612.0,4.0,42.0,0.005493531809321283,0.08695652173913043
 ejo ,Total,29.0,6492.0,12.0,59.0,0.004447170679343659,0.16901408450704225
 ejo ,plural ,15.0,447.0,4.0,6.0,0.032467532467532464,0.4
 ejo ,singular ,14.0,6045.0,8.0,53.0,0.0023106123122627496,0.13114754098360656
 ela ,Total,121.0,3624.0,11.0,113.0,0.032309746328437916,0.08870967741935484
 ela ,plural ,1.0,525.0,1.0,41.0,0.0019011406844106464,0.023809523809523808
 ela ,singular ,120.0,3099.0,10.0,72.0,0.03727865796831314,0.12195121951219512
